185.62.230.0/24 #AS215713 UEC-AUK United Education Company CJSC, KW
161.210.251.0/24 #AS14513 DMACC Des Moines Area Community College, US
161.210.252.0/24 #AS14513 DMACC Des Moines Area Community College, US
205.221.162.0/23 #AS14513 DMACC Des Moines Area Community College, US
205.221.164.0/24 #AS14513 DMACC Des Moines Area Community College, US
192.84.110.0/24 #AS393703 IDEAPS-TX IDEA Public Schools, US
153.104.0.0/16 #AS10448 VILLANOVA-UNIV Villanova University, US
172.82.76.0/22 #AS26795 AS-AEN Arizona Education Network Services Corporation, US
103.145.97.0/24 #AS139443 IDNIC-ITNY-AS-ID Institut Teknologi Nasional Yogyakarta, ID
202.29.70.0/24 #AS132250 PNU-AS Office of Info.Tech. Admin. for Educational Development, TH
194.120.55.0/24 #AS8874 BARTELS-FE Oliver Bartels F+E, DE
58.97.61.0/24 #AS55545 SUT-AS-AP Suranaree University of Technology, TH
202.21.140.0/24 #AS55545 SUT-AS-AP Suranaree University of Technology, TH
202.28.40.0/22 #AS55545 SUT-AS-AP Suranaree University of Technology, TH
203.158.0.0/21 #AS55545 SUT-AS-AP Suranaree University of Technology, TH
172.99.212.0/22 #AS13838 EMERSON Emerson College, US
199.94.64.0/19 #AS13838 EMERSON Emerson College, US
80.96.227.0/24 #AS49507 INCDFM Institutul National de Cercetare-Dezvoltare pentru Fizica Materialelor Bucuresti RA, RO
217.156.104.0/24 #AS49507 INCDFM Institutul National de Cercetare-Dezvoltare pentru Fizica Materialelor Bucuresti RA, RO
193.178.34.0/24 #AS34776 NAU-AS State Non-Commercial Company STATE UNIVERSITY KYIV AVIATION INSTITUTE, UA
130.95.0.0/16 #AS24437 UWA-AS-AP Australian Academic and Research Network, AU
180.149.248.0/22 #AS24437 UWA-AS-AP Australian Academic and Research Network, AU
203.24.97.0/24 #AS24437 UWA-AS-AP Australian Academic and Research Network, AU
103.106.116.0/24 #AS136886 IDNIC-IAIN-TULUNGAGUNG-AS-ID INSTITUT AGAMA ISLAM NEGERI TULUNGAGUNG, ID
103.101.236.0/23 #AS132210 AMCAHPL-AS-AP Ashwins Medical College and Hospitals Pvt. Ltd., NP
163.7.133.0/24 #AS38299 REANNZ-CORP-NZ-AP Research and Education Advanced Network New Zealand, NZ
210.7.40.0/23 #AS38299 REANNZ-CORP-NZ-AP Research and Education Advanced Network New Zealand, NZ
210.7.42.0/24 #AS38299 REANNZ-CORP-NZ-AP Research and Education Advanced Network New Zealand, NZ
210.7.46.0/23 #AS38299 REANNZ-CORP-NZ-AP Research and Education Advanced Network New Zealand, NZ
194.140.238.0/24 #AS41159 DIRECCAO-GERAL INSTITUTO DA MOBILIDADE E DOS TRANSPORTES TERRESTRES I.P, PT
114.70.132.0/22 #AS18028 GSNU-AS GyeongSang National University, KR
114.71.234.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.57.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.58.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.70.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.74.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.77.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.79.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.86.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.91.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.118.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.134.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.150.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.152.0/21 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.160.0/22 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.164.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
117.16.189.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
203.230.212.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
203.230.214.0/24 #AS18028 GSNU-AS GyeongSang National University, KR
203.232.192.0/20 #AS18028 GSNU-AS GyeongSang National University, KR
203.255.0.0/18 #AS18028 GSNU-AS GyeongSang National University, KR
222.96.8.0/23 #AS18028 GSNU-AS GyeongSang National University, KR
158.227.0.0/16 #AS15488 UPV-EHU Universidad del Pais Vasco - Euskal Herriko Unibertsitatea, ES
136.228.34.0/23 #AS399363 OAISD-OAWAN Ottawa Area ISD, US
136.228.59.0/24 #AS399363 OAISD-OAWAN Ottawa Area ISD, US
136.228.62.0/24 #AS399363 OAISD-OAWAN Ottawa Area ISD, US
192.80.60.0/24 #AS394324 AS-PISD-8 Pearland Independent School District, US
131.216.0.0/16 #AS3851 NSHE-NEVADANET Nevada System of Higher Education, US
134.197.0.0/16 #AS3851 NSHE-NEVADANET Nevada System of Higher Education, US
207.197.0.0/17 #AS3851 NSHE-NEVADANET Nevada System of Higher Education, US
134.75.1.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.15.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.16.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.101.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.102.0/23 #AS17579 KREONET2-AS KISTI, KR
134.75.105.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.107.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.108.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.123.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.124.0/22 #AS17579 KREONET2-AS KISTI, KR
134.75.128.0/22 #AS17579 KREONET2-AS KISTI, KR
134.75.132.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.200.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.207.0/24 #AS17579 KREONET2-AS KISTI, KR
134.75.252.0/23 #AS17579 KREONET2-AS KISTI, KR
134.75.254.0/24 #AS17579 KREONET2-AS KISTI, KR
203.230.1.0/24 #AS17579 KREONET2-AS KISTI, KR
210.119.23.0/24 #AS17579 KREONET2-AS KISTI, KR
210.119.127.0/24 #AS17579 KREONET2-AS KISTI, KR
23.153.108.0/24 #AS397179 BRIDGEWATER-COLLEGE Bridgewater College, US
147.138.0.0/17 #AS397179 BRIDGEWATER-COLLEGE Bridgewater College, US
147.138.128.0/18 #AS397179 BRIDGEWATER-COLLEGE Bridgewater College, US
98.179.129.0/24 #AS53372 TGEN TRANSLATIONAL GENOMICS RESEARCH INSTITUTE (TGEN), US
199.16.252.0/22 #AS17364 SOKA-UNIVERSITY-OF-AMERICA Soka University of America, US
192.139.224.0/24 #AS32756 CAMBRIANCOLLEGE Cambrian College of Applied Arts & Technology, CA
115.187.20.0/23 #AS10162 SNUH-AS SNUH, KR
203.229.128.0/20 #AS10162 SNUH-AS SNUH, KR
210.117.213.0/24 #AS10162 SNUH-AS SNUH, KR
211.168.196.0/24 #AS10162 SNUH-AS SNUH, KR
185.54.136.0/23 #AS199906 MCCME-AS Non-State Educational Institution Moscow Center for Continuous Mathematical Education, RU
141.101.225.0/24 #AS10 EJU1-RIPE CSNET Coordination and Information Center (CSNET-CIC), US
191.241.191.0/24 #AS10 EJU1-RIPE CSNET Coordination and Information Center (CSNET-CIC), US
195.74.62.0/23 #AS10 EJU1-RIPE CSNET Coordination and Information Center (CSNET-CIC), US
204.69.64.0/18 #AS1648 JEFFERSON-PARISH-SCHOOL-BOARD Jefferson Parish School Board, US
199.8.16.0/21 #AS397534 IWU-PUBLIC-01 Indiana Wesleyan University (Marion College), US
199.8.24.0/22 #AS397534 IWU-PUBLIC-01 Indiana Wesleyan University (Marion College), US
14.55.70.0/23 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
14.55.72.0/23 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
103.21.190.0/23 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
203.234.101.0/24 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
203.234.107.0/24 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.39.70.0/23 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.39.78.0/24 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.236.96.0/23 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.251.36.0/22 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.251.40.0/21 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.251.48.0/20 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.251.64.0/18 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
211.251.128.0/21 #AS38692 JBES-AS Jeonbuk State office of Education Future Education Research Institute, KR
198.8.72.0/24 #AS397953 ALVIN-ISD-01 Alvin Independent School District, US
203.8.200.0/24 #AS141989 TRACOGPL-AS-AP The Royal Australian College of General Practitioners, AU
202.92.156.0/24 #AS132796 UPB-AS-AP University of the Philippines Baguio Campus, PH
145.18.0.0/16 #AS1124 UVA-NL Universiteit van Amsterdam, --
145.109.0.0/16 #AS1124 UVA-NL Universiteit van Amsterdam, --
146.50.0.0/16 #AS1124 UVA-NL Universiteit van Amsterdam, --
103.139.25.0/24 #AS138878 IDNIC-UMSIDA-AS-ID Universitas Muhammadiyah Sidoarjo, ID
117.16.191.0/24 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.192.0/19 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.224.0/21 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.232.0/23 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.234.0/24 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.242.0/23 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.244.0/22 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.248.0/22 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.16.252.0/23 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.17.220.0/22 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
117.17.224.0/20 #AS23570 INCHEON-AS UNIVERSITY OF INCHEON, KR
64.202.80.0/20 #AS29867 FAIRFIELD-UNIVERSITY Fairfield University, US
192.160.243.0/24 #AS29867 FAIRFIELD-UNIVERSITY Fairfield University, US
192.160.244.0/24 #AS29867 FAIRFIELD-UNIVERSITY Fairfield University, US
129.59.0.0/16 #AS7212 VANDERBILT Vanderbilt University, US
192.111.108.0/23 #AS7212 VANDERBILT Vanderbilt University, US
192.111.110.0/24 #AS7212 VANDERBILT Vanderbilt University, US
170.177.0.0/16 #AS31848 DVUSD Deer Valley Unified School District #97, US
129.180.0.0/16 #AS24101 UNE-AS-AP Australian Academic and Research Network, AU
199.5.154.0/23 #AS396440 AS-AUBURN-UNIVERSITY-MONTGOMERY Auburn University at Montgomery, US
199.80.8.0/21 #AS396440 AS-AUBURN-UNIVERSITY-MONTGOMERY Auburn University at Montgomery, US
198.97.37.0/24 #AS16394 KILLEEN-INDEPENDENT-SCHOOL-DISTRICT Killeen ISD, US
204.155.95.0/24 #AS16394 KILLEEN-INDEPENDENT-SCHOOL-DISTRICT Killeen ISD, US
103.115.99.0/24 #AS137356 IDNIC-UPY-AS-ID Universitas PGRI Yogyakarta, ID
192.26.27.0/24 #AS33466 FLVS-AS Florida Virtual School, US
140.181.0.0/16 #AS209499 GSI GSI Helmholtzzentrum fur Schwerionenforschung GmbH, DE
161.200.0.0/16 #AS3839 ERX-CHULANET Chulalongkorn University, TH
192.207.64.0/24 #AS3839 ERX-CHULANET Chulalongkorn University, TH
202.6.90.0/24 #AS3839 ERX-CHULANET Chulalongkorn University, TH
5.56.128.0/23 #AS212227 JUNDISHAPUR Ahvaz Jundishapur University of Medical Sciences, IR
91.198.10.0/24 #AS43206 TNTU-AS Ternopil Ivan Pul'uj National Technical University, UA
147.222.0.0/16 #AS11649 GUNET Gonzaga University, US
103.55.139.0/24 #AS133827 IDNIC-UII-AS-ID UNIVERSITAS ISLAM INDONESIA, ID
103.95.6.0/23 #AS133827 IDNIC-UII-AS-ID UNIVERSITAS ISLAM INDONESIA, ID
103.220.113.0/24 #AS133827 IDNIC-UII-AS-ID UNIVERSITAS ISLAM INDONESIA, ID
204.62.193.0/24 #AS6488 DS6488-0 AMUG, US
206.197.47.0/24 #AS6488 DS6488-0 AMUG, US
103.167.110.0/23 #AS141981 IDNIC-ITLTRISAKTI-AS-ID Institut Transportasi dan Logistik Trisakti, ID
162.51.0.0/16 #AS23193 CCAC Community College of Allegheny County, US
91.219.144.0/22 #AS51652 NUBIP-AS National University of Life and Environmental Sciences of Ukraine, UA
209.182.222.0/24 #AS401285 MICHIGANVIRTUAL MICHIGAN VIRTUAL, US
129.128.0.0/16 #AS3359 U-ALBERTA University of Alberta, CA
142.244.0.0/16 #AS3359 U-ALBERTA University of Alberta, CA
198.73.178.0/24 #AS3359 U-ALBERTA University of Alberta, CA
198.161.218.0/24 #AS3359 U-ALBERTA University of Alberta, CA
199.185.2.0/23 #AS3359 U-ALBERTA University of Alberta, CA
209.115.220.0/23 #AS3359 U-ALBERTA University of Alberta, CA
198.51.230.0/24 #AS394022 LCSD-ASN Lyon County School District, US
203.250.184.0/22 #AS9521 KATECH-AS Korea Automotive Technology Institute, KR
210.219.46.0/24 #AS9521 KATECH-AS Korea Automotive Technology Institute, KR
91.214.253.0/24 #AS196610 DECIX-ACADEMY DE-CIX Management GmbH, DE
102.223.94.0/24 #AS328762 MANSOORA-UNIVERSITY Mansoura University, EG
193.227.50.0/23 #AS328762 MANSOORA-UNIVERSITY Mansoura University, EG
129.114.0.0/17 #AS32093 TACCNET University of Texas at Austin, US
91.240.37.0/24 #AS8363 KOCUNIV-AS KOC UNIVERSITY, TR
91.227.22.0/24 #AS56714 IAU Imam Abdulrahman Bin Faisal University, SA
91.227.24.0/23 #AS56714 IAU Imam Abdulrahman Bin Faisal University, SA
216.152.76.0/24 #AS20344 BILLERICAPS-MA-ASN Billerica Public Schools, US
76.165.0.0/16 #AS2055 LSU Louisiana State University, US
96.125.0.0/17 #AS2055 LSU Louisiana State University, US
130.39.0.0/16 #AS2055 LSU Louisiana State University, US
167.96.0.0/16 #AS2055 LSU Louisiana State University, US
173.253.128.0/17 #AS2055 LSU Louisiana State University, US
192.16.176.0/24 #AS2055 LSU Louisiana State University, US
199.120.251.0/24 #AS2055 LSU Louisiana State University, US
199.164.155.0/24 #AS2055 LSU Louisiana State University, US
199.190.250.0/23 #AS2055 LSU Louisiana State University, US
199.190.252.0/24 #AS2055 LSU Louisiana State University, US
204.90.32.0/20 #AS2055 LSU Louisiana State University, US
204.90.48.0/22 #AS2055 LSU Louisiana State University, US
61.79.247.0/24 #AS38404 GOEBC-AS Gyeonggi Provincial Bucheon Office of Education, KR
121.190.251.0/24 #AS38404 GOEBC-AS Gyeonggi Provincial Bucheon Office of Education, KR
211.222.73.0/24 #AS38404 GOEBC-AS Gyeonggi Provincial Bucheon Office of Education, KR
218.38.234.0/23 #AS38404 GOEBC-AS Gyeonggi Provincial Bucheon Office of Education, KR
137.194.0.0/16 #AS1712 FR-RENATER-ENST Renater, FR
192.33.155.0/24 #AS1712 FR-RENATER-ENST Renater, FR
59.2.112.0/24 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
117.17.108.0/22 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
117.17.112.0/23 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
202.30.55.0/24 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
202.31.144.0/21 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
203.234.48.0/20 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
211.230.220.0/23 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
211.230.222.0/24 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
220.68.22.0/23 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
220.68.24.0/22 #AS9954 KUNSAN-AS Kunsan National University (KNU), KR
177.70.32.0/19 #AS262533 UNIVERSIDADE-PARA Universidade do Estado do Pará, BR
203.255.232.0/23 #AS9975 KBISE-AS Gyeongsangbuk-do Education Research Institute, KR
103.149.118.0/23 #AS141055 IDNIC-STTPLN-AS-ID Sekolah Tinggi Teknik - PLN, ID
198.162.1.0/24 #AS395991 COTR-AS College of the Rockies, CA
194.147.107.0/24 #AS35387 SYNERGY-AS Synergy University, RU
134.214.0.0/16 #AS2060 FR-RENATER Renater, FR
216.235.150.0/24 #AS55224 MCS-AS Marietta City Schools, US
193.19.126.0/23 #AS30911 ALTSTU-AS State Educational Institution of higher professional Education 'Altai state technical university after I.I.Polzunov', RU
193.25.221.0/24 #AS30911 ALTSTU-AS State Educational Institution of higher professional Education 'Altai state technical university after I.I.Polzunov', RU
194.28.101.0/24 #AS211218 KNUBA KYIV NATIONAL UNIVERSITY OF CONSTRUCTION AND ARCHITECTURE, UA
46.33.160.0/19 #AS50583 INDEX-EDUCATION Index Education SAS, FR
185.173.124.0/22 #AS50583 INDEX-EDUCATION Index Education SAS, FR
195.191.172.0/23 #AS50583 INDEX-EDUCATION Index Education SAS, FR
212.114.0.0/20 #AS50583 INDEX-EDUCATION Index Education SAS, FR
103.79.91.0/24 #AS64305 IDNIC-UMPO-AS-ID UNIVERSITAS MUHAMMADIYAH PONOROGO, ID
191.36.0.0/17 #AS263325 INSTITUTO-FEDERAL-EDUCACAO INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGI, BR
96.46.160.0/20 #AS397549 TAMU-SA Texas A&M University San Antonio, US
200.236.128.0/18 #AS10417 FUNDACAO-DESENVOLVIMENTO-PESQUISA Fundação de Desenvolvimento da Pesquisa, BR
200.238.192.0/18 #AS10417 FUNDACAO-DESENVOLVIMENTO-PESQUISA Fundação de Desenvolvimento da Pesquisa, BR
103.127.35.0/24 #AS150638 SSGMCE-AS-IN SHRI GAJANAN MAHARAJ COLLEGE OF ENGINEERING, IN
147.125.0.0/17 #AS2488 IIASA-NET International Institute for Applied Systems Analysis, AT
77.72.40.0/21 #AS2259 FR-RAREST Renater, FR
130.79.0.0/16 #AS2259 FR-RAREST Renater, FR
185.155.92.0/22 #AS2259 FR-RAREST Renater, FR
192.93.19.0/24 #AS2259 FR-RAREST Renater, FR
192.93.248.0/24 #AS2259 FR-RAREST Renater, FR
35.7.112.0/20 #AS394769 UMF-7-AS University of Michigan - Flint, US
141.216.0.0/16 #AS394769 UMF-7-AS University of Michigan - Flint, US
72.237.4.0/24 #AS26808 UTICA-COLLEGE Utica University, US
207.174.78.0/23 #AS26808 UTICA-COLLEGE Utica University, US
129.19.174.0/24 #AS396212 AIMS-COMMUNITY-COLLEGE Aims Community College, US
166.104.0.0/16 #AS9321 HYUNET-AS Hanyang University, KR
37.63.79.0/24 #AS200723 SWU-BG-AS South-West University Neofit Rilski, BG
217.26.219.0/24 #AS200723 SWU-BG-AS South-West University Neofit Rilski, BG
216.18.128.0/23 #AS46725 ESC19-ASN Education Service Center-Region 19, US
216.18.130.0/24 #AS46725 ESC19-ASN Education Service Center-Region 19, US
193.17.173.0/24 #AS30945 BAS-NET-TECHAS State Scientific Enterprise 'United Institute of Informatics Problems of National Academy of Sciences of Belarus' (UIIP NASB), BY
103.224.106.0/24 #AS149631 IPC-AS-AP IOE Pashchimanchal Campus, NP
101.7.7.0/24 #AS9405 TPS-CN-AS Test platform Service Center, CN
103.115.120.0/22 #AS9405 TPS-CN-AS Test platform Service Center, CN
129.233.217.0/24 #AS28714 FHI-SIT Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V., DE
141.12.0.0/16 #AS28714 FHI-SIT Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V., DE
185.144.64.0/22 #AS203102 KMU Kerman University of Medical Sciences, IR
193.255.120.0/22 #AS44639 ISIKUN Isik University, TR
102.68.144.0/24 #AS328435 ECONOMIC-STRATEGIC-RESEARCH-CENTER-AS Economic & Strategic Research Center, SO
102.68.151.0/24 #AS328435 ECONOMIC-STRATEGIC-RESEARCH-CENTER-AS Economic & Strategic Research Center, SO
163.180.0.0/16 #AS17870 KHU-AS Kyung Hee University, KR
114.71.198.0/23 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
114.71.200.0/21 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
114.71.208.0/20 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
121.184.184.0/22 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
121.184.188.0/23 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
121.184.192.0/21 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
121.184.200.0/23 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
175.204.240.0/22 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
175.204.244.0/24 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
175.213.217.0/24 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
220.69.189.0/24 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
220.69.190.0/23 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
220.69.192.0/20 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
220.69.208.0/22 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
220.69.212.0/23 #AS38105 SCH-AS SOON CHUN HYANG UNIVERSITY, KR
69.58.44.0/22 #AS22714 SJC-ASN-01 St. Joseph County Intermediate School District, US
74.112.180.0/24 #AS26226 LOYOL-1-ASN Loyola High School of Los Angeles, US
12.174.210.0/23 #AS22471 MOTEMARINELAB Mote Marine Laboratory, US
204.238.255.0/24 #AS398484 CLARKEUNIVERSITY-BGP Clarke University, US
91.208.138.0/24 #AS47799 ONUIIM-AS National I.I. Mechnikov University of Odessa, UA
216.70.31.0/24 #AS397652 SMSC SMSC, US
167.88.64.0/20 #AS393393 AISD-AS Amarillo ISD, US
161.248.40.0/23 #AS38656 LOUTRES Loutres, JP
130.113.0.0/16 #AS23237 MCMASTER McMaster University, CA
192.42.5.0/24 #AS23237 MCMASTER McMaster University, CA
192.42.6.0/24 #AS23237 MCMASTER McMaster University, CA
192.184.234.0/24 #AS395960 BUCK-INSTITUTE Buck Institute for Research on Aging, US
147.229.255.0/24 #AS201263 AS-BRIX-CDN Brno University of Technology, CZ
50.21.240.0/20 #AS1044 BLINN-AS Blinn College, US
64.92.176.0/20 #AS1044 BLINN-AS Blinn College, US
174.47.123.0/24 #AS25738 HERZING-UNIVERSITY Herzing INC, US
192.188.108.0/24 #AS2721 SCLR CULR LLC, US
205.186.46.0/24 #AS2721 SCLR CULR LLC, US
205.186.224.0/19 #AS2721 SCLR CULR LLC, US
69.7.78.0/24 #AS216162 NIOI-SET National Insurance institute, IL
128.92.72.0/24 #AS62652 AU-65-BGP Anderson University, US
103.134.208.0/22 #AS132216 COMILLA1-AS-AP Comilla University, BD
213.73.8.0/21 #AS21064 OLMAN-COM-AS University of Warmia and Mazury in Olsztyn Poland, PL
213.73.16.0/22 #AS21064 OLMAN-COM-AS University of Warmia and Mazury in Olsztyn Poland, PL
213.184.28.0/22 #AS21064 OLMAN-COM-AS University of Warmia and Mazury in Olsztyn Poland, PL
198.8.58.0/23 #AS206628 EZRICLOUD Tianyu-Zhu, US
185.216.204.0/22 #AS39503 SPBPU-AS Peter the Great St. Petersburg Polytechnic University, RU
194.190.225.0/24 #AS39503 SPBPU-AS Peter the Great St. Petersburg Polytechnic University, RU
195.209.230.0/23 #AS39503 SPBPU-AS Peter the Great St. Petersburg Polytechnic University, RU
195.209.232.0/23 #AS39503 SPBPU-AS Peter the Great St. Petersburg Polytechnic University, RU
165.190.0.0/16 #AS8122 DQNAS Duquesne University, US
192.88.240.0/24 #AS8122 DQNAS Duquesne University, US
192.135.79.0/24 #AS8122 DQNAS Duquesne University, US
192.135.213.0/24 #AS8122 DQNAS Duquesne University, US
165.101.22.0/24 #AS153981 DAFFODIL1-AS-AP Daffodil International University, BD
193.50.206.0/24 #AS2470 FR-LAREUNION Renater, FR
193.51.11.0/24 #AS2470 FR-LAREUNION Renater, FR
193.51.113.0/24 #AS2470 FR-LAREUNION Renater, FR
193.51.115.0/24 #AS2470 FR-LAREUNION Renater, FR
194.167.103.0/24 #AS2470 FR-LAREUNION Renater, FR
194.167.142.0/24 #AS2470 FR-LAREUNION Renater, FR
194.199.66.0/23 #AS2470 FR-LAREUNION Renater, FR
194.199.68.0/22 #AS2470 FR-LAREUNION Renater, FR
194.199.72.0/23 #AS2470 FR-LAREUNION Renater, FR
194.199.78.0/24 #AS2470 FR-LAREUNION Renater, FR
195.83.188.0/24 #AS2470 FR-LAREUNION Renater, FR
195.98.231.0/24 #AS2470 FR-LAREUNION Renater, FR
195.98.232.0/24 #AS2470 FR-LAREUNION Renater, FR
195.220.149.0/24 #AS2470 FR-LAREUNION Renater, FR
195.220.150.0/23 #AS2470 FR-LAREUNION Renater, FR
148.204.0.0/16 #AS3484 INSTITUTO-POLITECNICO-NACIONAL Instituto Politecnico Nacional, MX
199.217.32.0/19 #AS32142 ASD20 Academy School District 20, US
158.129.128.0/18 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.40.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.48.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.56.0/22 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.80.0/20 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.128.0/20 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.144.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
85.143.25.0/24 #AS8480 USATU-AS Federal State Budget Educational Institution of Higher Education Ufa University of Science and Technology, RU
193.233.144.0/22 #AS8480 USATU-AS Federal State Budget Educational Institution of Higher Education Ufa University of Science and Technology, RU
194.190.227.0/24 #AS8480 USATU-AS Federal State Budget Educational Institution of Higher Education Ufa University of Science and Technology, RU
5.160.248.0/22 #AS35043 ALLAMEH-UNIVERSITY-AS Allameh Tabataba'i University, IR
185.95.180.0/23 #AS35043 ALLAMEH-UNIVERSITY-AS Allameh Tabataba'i University, IR
185.95.182.0/24 #AS35043 ALLAMEH-UNIVERSITY-AS Allameh Tabataba'i University, IR
128.194.0.0/16 #AS3794 TAMU Texas A&M University, US
165.91.0.0/16 #AS3794 TAMU Texas A&M University, US
203.253.232.0/24 #AS17576 KOSEF-AS National Research Foundation of Korea, KR
221.158.73.0/24 #AS17576 KOSEF-AS National Research Foundation of Korea, KR
149.43.0.0/16 #AS1289 COLGATE-UNIVERSITY Colgate University, US
176.111.168.0/22 #AS201305 WILWAW WOJSKOWY INSTYTUT LACZNOSCI, PL
200.33.96.0/24 #AS61585 MINISTERIO-SAUDE-INSTITUTO MINISTÉRIO DA SAÚDE - INSTITUTO NACIONAL DE CÂNCER, BR
61.56.0.0/20 #AS18183 NCREE National Center for Research on Earthquake Engineering, TW
103.189.132.0/23 #AS18183 NCREE National Center for Research on Earthquake Engineering, TW
202.5.12.0/22 #AS18183 NCREE National Center for Research on Earthquake Engineering, TW
198.128.0.0/14 #AS292 ESNET-WEST ESnet, US
62.177.32.0/19 #AS28947 INTURAL-AS ZAO InT, RU
