101.0.64.0/18 #AS55803 HOSTOPIA-AU Hostopia Australia Web Pty Ltd, AU
103.46.230.0/24 #AS24305 EDGEIXPTYLTD-AS-AP EdgeIX Pty Ltd, AU
103.47.0.0/24 #AS133736 SYNTELPTYLTD-AU TASMANET, AU
103.47.1.0/24 #AS133901 SURETEK-AS-AP SURETEK PTY LTD, AU
103.47.187.0/24 #AS133121 NORTONROSEAUSTRALIA-AS-AP Norton Rose Australia Services Pty Ltd, AU
103.47.234.0/23 #AS133914 COLOURED-LINES-AS-AP Coloured Lines Australia Pty Ltd, AU
103.47.245.0/24 #AS58409 LUMO-AU Lumo Energy Australia Pty Ltd, AU
103.47.246.0/23 #AS63931 GNET-AU GNET Communications PTY LTD, AU
103.48.200.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.48.20.0/23 #AS153346 HAWKNET-AS-AP HawkNet Labs Pty Ltd, AU
103.48.208.0/22 #AS133934 AUSIT-AS-AP AUS IT SERVICES PTY LTD, AU
103.4.86.0/24 #AS56074 NET-AS01-AP NetStrategy Pty Ltd, AU
103.48.89.0/24 #AS58713 FIBERVISION-NET-AU 1113 Corporate Drive, AU
103.49.106.0/23 #AS131455 ONSITECOMPUTERS-AU 22 Stirling St, AU
103.49.16.0/23 #AS63950 JWNPL-AS-AP Jackies Wholesale Nurseries Pty Ltd, AU
103.49.18.0/24 #AS133939 NGSSUPER-AS-AP NGS Super Pty Limited, AU
103.49.38.0/23 #AS133943 ISG-AS-AP Integrated Solutions Group Queensland Pty Ltd, AU
103.49.4.0/22 #AS58507 WL-AS-AP Wireline, AU
103.49.60.0/24 #AS132825 MYTEK-AS-AP MYTEK TRADING PTY LTD, AU
103.50.12.0/23 #AS131316 SLNET-AU Slnet Hosting, AU
103.50.149.0/24 #AS150305 VFSAPL-AS-AP Volkswagen Financial Services Australia Pty Limited, AU
103.50.34.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.5.106.0/24 #AS134778 IRTRUST-AS-AP Illawarra Retirement Trust, AU
103.51.112.0/22 #AS134090 LEAP-AS-AP Leaptel, AU
103.51.130.0/24 #AS139664 SECURITON-EQUINIX-AS-AP Securiton Technologies, AU
103.51.159.0/24 #AS134080 TOXFREE-AS-AP TOX FREE SOLUTIONS LIMITED, AU
103.51.221.0/24 #AS134081 RGL-AS-AP RICEGROWERS LIMITED, AU
103.51.40.0/24 #AS134070 LEGALAIDNSW-AS-AP Legal Aid Commission of NSW, AU
103.51.61.0/24 #AS2764 AAPT AAPT Limited, AU
103.51.68.0/22 #AS134076 M2000CN-AS-AP 2000 Computers & Networks Pty Ltd 103.51.68.022, AU
103.52.1.0/24 #AS17461 DPWSAU-AP NSW Department of Commerce, AU
103.52.116.0/22 #AS63956 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.5.212.0/23 #AS135516 NOWIT-AS-AP Now IT Solutions Ply Ltd, AU
103.52.168.0/23 #AS38880 M21-AS-AP Micron21 Datacentre Pty Ltd, AU
103.52.193.0/24 #AS134101 MEDIAHUB-AS-AP Mediahub Australia Pty Ltd., AU
103.52.62.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
103.5.29.0/24 #AS58422 UTS-AS-AP UTS COLLEGE LTD, AU
103.53.115.0/24 #AS17473 E2-CLOUD-AS-AP emPOWER Data Services, AU
103.53.116.0/24 #AS55811 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.53.117.0/24 #AS17551 ANYCAST-AS-AP Anycast Global Backbone, AU
103.53.118.0/23 #AS17551 ANYCAST-AS-AP Anycast Global Backbone, AU
103.53.187.0/24 #AS134115 RIVERVIEW-AS-AP THE TRUSTEES OF THE JESUIT FATHERS - ST IGNATIUS COLLEGE RIVERVIEW, AU
103.53.200.0/22 #AS9336 XYZTELECOM-AS-AP XYZ Telecom Pty Ltd, AU
103.54.111.0/24 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.54.153.0/24 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.54.155.0/24 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.54.232.0/22 #AS58580 FASTRACK Fastrack Technology, AU
103.54.238.0/23 #AS132162 SANTOS-AS-AP Santos Limited, AU
103.54.68.0/22 #AS134119 CNWAPL-AS-AP Cirrus Networks WA Pty Ltd, AU
103.55.114.0/23 #AS9517 CATHEDBNE-AS-AP Brisbane Catholic Education, AU
103.55.116.0/22 #AS63971 SIPCITY-AU BLAST TECHNOLOGIES PTY. LTD., AU
103.55.132.0/24 #AS55581 BINARY-AU NEXT TELECOM, AU
103.55.134.0/23 #AS133736 SYNTELPTYLTD-AU TASMANET, AU
103.55.16.0/22 #AS134138 ASPL-AS-AP AXON Systems Pty Ltd, AU
103.55.162.0/23 #AS134147 TEAMWORKTECHNOLOGY-AS-AP TEAMWORK TECHNOLOGY PTY LTD, AU
103.55.212.0/24 #AS10143 EXETEL-AS-AP Exetel Pty Ltd, AU
103.55.217.0/24 #AS134155 TANGIBLETECHNOLOGY-AS-AP TANGIBLE TECHNOLOGY PTY LTD, AU
103.55.219.0/24 #AS134163 VSPL-AS-AP ValuePRO Software Pty Ltd, AU
103.55.34.0/24 #AS134145 TGMP-AS-AP TF GLOBAL MARKETS AUST PTY LTD, AU
103.55.44.0/22 #AS45763 OPTICOMMCOPTYLTD-AS-AP Opticomm Co Pty Ltd, AU
103.55.52.0/24 #AS139352 CBRE-APAC-EQ-2 CBRE Pty Limited, AU
103.55.53.0/24 #AS137268 CBRE-APAC-EQ-1 CBRE Pty Limited, AU
103.55.58.0/24 #AS134142 ALOYSIUS-AS-AP ST ALOYSIUS COLLEGE, AU
103.55.76.0/22 #AS134141 B2BWHOLESALE-AS-AP B2B Wholesale Pty Ltd, AU
103.55.9.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.55.92.0/22 #AS134143 PDKPL-AS-AP Kinetix Networks, AU
103.56.12.0/22 #AS134160 VINE-AS-AP Vine Networks Pty, AU
103.56.31.0/24 #AS134164 NGTA-AS-AP NSW Government Telecommunications Authority, AU
103.56.53.0/24 #AS8888 XTOM xTom Pty Ltd, AU
103.56.71.0/24 #AS134133 CLICKVIEW ClickView Pty. Limited, AU
103.57.0.0/22 #AS134179 RWN-AS-AP Real World Networks Pty Ltd, AU
103.57.164.0/24 #AS8888 XTOM xTom Pty Ltd, AU
103.57.166.0/23 #AS8888 XTOM xTom Pty Ltd, AU
103.57.3.0/24 #AS45437 RWTS-AS-AP Real World - The Core, AU
103.57.32.0/22 #AS134369 ATOS-AS-AP Atos Australia Pty Ltd, AU
103.57.68.0/24 #AS134183 PROGRESSIT-AS-AP Progress I.T. Pty Ltd, AU
103.5.77.0/24 #AS55575 MAXOTEL-AU Maxo Telecommunications, AU
103.58.212.0/24 #AS1221 ASN-TELSTRA Telstra Limited, AU
103.58.232.0/24 #AS59267 INTUITTECHNOLOGIESPTYLTD-AS-AP Intuit Technologies Pty Ltd, AU
103.58.32.0/24 #AS134203 NEBULEX-AS-AP Nebulex Pty Ltd, AU
103.58.34.0/23 #AS1221 ASN-TELSTRA Telstra Limited, AU
103.5.88.0/23 #AS38887 NABINVEST-AS-AP NAB Investment Holdings Pty Ltd, AU
103.5.90.0/23 #AS56081 NABINVEST-AS-AP NAB Investment Holdings Pty Ltd, AU
103.59.183.0/24 #AS55302 AGDTECH-AU GPO Box 2142, AU
103.5.96.0/22 #AS38333 SYMBIO-AS-AU-AP Symbio Networks, AU
103.60.105.0/24 #AS132852 VAULTSYSTEMS-AS-AP Vault Systems Pty. Ltd., AU
103.60.107.0/24 #AS17766 NEXON-AS-AP Nexon Asia Pacific Pty Ltd, AU
103.60.132.0/23 #AS58473 CROSSPOINT-AS-AP Crosspoint Telecommunications Pty Ltd, AU
103.60.152.0/22 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.60.200.0/22 #AS7546 DREAMTILT-AP Dreamtilt Service Provider Gladstone, AU
103.60.20.0/24 #AS136900 IQNETNSW-AS-AP IQ NET NSW PTY LTD, AU
103.60.216.0/24 #AS38887 NABINVEST-AS-AP NAB Investment Holdings Pty Ltd, AU
103.60.22.0/23 #AS138354 LOCALDC-AS-AP LocalDC Pty Ltd, AU
103.60.96.0/24 #AS138354 LOCALDC-AS-AP LocalDC Pty Ltd, AU
103.60.98.0/24 #AS133030 ROCKETNETWORKS-AS-AP Rocket Networks Pty Ltd, AU
103.6.105.0/24 #AS45657 NSWRFS-AS-AP NSW Rural Fire Service, AU
103.61.128.0/24 #AS133736 SYNTELPTYLTD-AU TASMANET, AU
103.61.129.0/24 #AS64098 SYNTELPTYLTD-AU TASMANET, AU
103.61.130.0/24 #AS133736 SYNTELPTYLTD-AU TASMANET, AU
103.6.116.0/24 #AS132162 SANTOS-AS-AP Santos Limited, AU
103.61.196.0/24 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.6.12.0/22 #AS7604 ZETTAGRID-AS-AP Zettagrid Pty Ltd, AU
103.61.70.0/24 #AS4826 VOCUS-BACKBONE-AS Vocus Connect International Backbone, AU
103.6.188.0/22 #AS38333 SYMBIO-AS-AU-AP Symbio Networks, AU
103.61.96.0/24 #AS55884 ORIONVM-AU OrionVM Cloud Platform, AU
103.61.97.0/24 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.61.98.0/24 #AS7545 TPG-INTERNET-AP TPG Telecom Limited, AU
103.61.99.0/24 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.6.208.0/23 #AS10214 PENTANET-AS-AP Pentanet Limited, AU
103.6.210.0/24 #AS10214 PENTANET-AS-AP Pentanet Limited, AU
103.6.215.0/24 #AS132682 ARU-AS-AP Australian Rugby Union Limited, AU
103.62.200.0/23 #AS64002 WITHTEL-AS-AP DAVIS, DEAN ANTHONY Trading as: withtel, AU
103.62.28.0/23 #AS140876 SPLASH-AS-AP Splash Internet Pty Ltd, AU
103.62.48.0/22 #AS137409 GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU
103.6.252.0/22 #AS10148 UNIMELB-AS-AP The University of Melbourne, Melbourne, Victoria, AU
103.6.3.0/24 #AS134754 COS-AS-AP Computer One Software Australia Pty Ltd, AU
103.63.100.0/24 #AS133403 ORIGINNETPTYLTD-AS-AP Origin Net, AU
103.63.156.0/22 #AS139049 GIGACOMM-AS-AP GIGACOMM PTY LTD, AU
103.63.228.0/22 #AS38835 VIAIP-AS-AP Buroserv Australia Pty Ltd, AU
103.64.148.0/22 #AS38220 AMAZE-AS-AP Amaze Intelligence, AU
103.64.16.0/24 #AS136988 LEASEWEB-AS-AP LEASEWEB AUSTRALIA PTY LIMITED, AU
103.65.128.0/24 #AS151846 SCCWI-AS-AP Southern Cross Care WA Inc, AU
103.65.141.0/24 #AS153346 HAWKNET-AS-AP HawkNet Labs Pty Ltd, AU
103.65.220.0/23 #AS150710 CWNETPTYLTD-AS-AP CWNet Pty Ltd, AU
103.65.232.0/24 #AS9268 OVERTHEWIRE-AS-AP Over The Wire Pty Ltd, AU
103.65.233.0/24 #AS135512 BTPL-AS-AP BIZ-LYNX Technology Pty Ltd, AU
103.65.252.0/24 #AS63920 VOSTRO-AS-AP Superloop VostroNet, AU
103.65.253.0/24 #AS38195 SUPERLOOP-AS-AP Superloop, AU
103.65.254.0/23 #AS63920 VOSTRO-AS-AP Superloop VostroNet, AU
103.66.132.0/22 #AS9507 NEXTHOP-AS-AP NextHop Pty Ltd, AU
103.66.170.0/24 #AS135574 KCRL-AS-AP Kestrel Coal Resources Pty Ltd, AU
103.66.220.0/24 #AS135583 RBC-AS-AP ip2me Hosted Services, AU
103.66.26.0/23 #AS45240 NETWIDE-AU-AS-AP REA Group, A subsidiary of Netwide, AU
103.66.37.0/24 #AS135565 JCSPL-AS-AP JEM Computer Systems Pty Ltd, AU
103.66.39.0/24 #AS59267 INTUITTECHNOLOGIESPTYLTD-AS-AP Intuit Technologies Pty Ltd, AU
103.67.155.0/24 #AS135585 CCGL-AS-AP Credit Corp Group Limited, AU
103.67.167.0/24 #AS135895 CT-AS Centorrino Technologies Pty Ltd, AU
103.67.177.0/24 #AS63919 JETP-AU Jeanneret Electrical Technologies PL, AU
103.67.20.0/24 #AS45838 ANTICLOCKWISE-AS-AP Anticlockwise Pty Ltd, AU
103.67.21.0/24 #AS10143 EXETEL-AS-AP Exetel Pty Ltd, AU
103.67.234.0/23 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
103.67.248.0/24 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
103.67.56.0/23 #AS151976 CFNPL-AS-AP CoreFibre Networks Pty Ltd, AU
103.67.68.0/24 #AS55581 BINARY-AU NEXT TELECOM, AU
103.67.70.0/23 #AS151978 WBOPL-AS-AP Wide Blue Ocean Pty Ltd, AU
103.67.95.0/24 #AS45671 AS45671-NET-AU Wholesale Services Provider, AU
103.68.105.0/24 #AS150343 COVH-AS-AP CITY OF VICTOR HARBOR, AU
103.68.109.0/24 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.68.121.0/24 #AS45887 GPLHOST-AS-AP GPLHost LLC, AU
103.68.122.0/23 #AS45887 GPLHOST-AS-AP GPLHost LLC, AU
103.68.124.0/24 #AS131230 M10HALLAM-AS-AP Mitre 10 Australia Pty. Ltd, AU
103.68.160.0/22 #AS131270 PTGL-AS-AP Planet Technology Group Ltd, AU
103.68.164.0/22 #AS38719 DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU
103.68.178.0/24 #AS131282 EFSA-AS-AP ELEMENT FLEET SERVICES AUSTRALIA PTY LTD, AU
103.68.202.0/24 #AS7628 CORPCLOUDPTYLTD-AS-AP CorpCloud Pty Ltd, AU
103.68.205.0/24 #AS4801 INTEKPTYLTD-AS-AP Intek Pty Ltd, AU
103.68.208.0/22 #AS131292 HCSPL-AS-AP Hub Computing Services Pty Ltd, AU
103.68.222.0/24 #AS131295 EMMPL-AS-AP Employers Mutual Management Pty Ltd, AU
103.68.92.0/24 #AS7575 AARNET-AS-AP Australian Academic and Research Network AARNet, AU
103.69.104.0/23 #AS151203 FIBREUPPTYLTD-AS-AP Fibre Up Pty Ltd, AU
103.69.164.0/22 #AS140062 VISION6-AS-AP Vision 6 Pty Ltd, AU
103.69.198.0/24 #AS23913 BLUEPACKETS-AU Blue Packets Trust, AU
103.69.236.0/23 #AS7545 TPG-INTERNET-AP TPG Telecom Limited, AU
103.69.252.0/24 #AS132030 VES-AS-AP VEOLIA ENVIRONMENTAL SERVICES AUSTRALIA PTY LTD, AU
103.69.31.0/24 #AS131312 TAYLOR-AS-AP TAYLOR CONSTRUCTION GROUP PTY LTD, AU
103.69.72.0/22 #AS56038 RACKCORP-AP RackCorp, AU
103.70.172.0/22 #AS55366 BUPA-AUS-HEALTH-AS-AP BUPA Australia Health Pty Ltd, AU
103.70.192.0/22 #AS132113 CONNECTEDAUSTRALIA-AS-AP Connected Australia, AU
103.70.232.0/24 #AS134149 REDPIRANHALIMITED-AS-AP RED PIRANHA LIMITED, AU
103.70.234.0/23 #AS134149 REDPIRANHALIMITED-AS-AP RED PIRANHA LIMITED, AU
103.70.57.0/24 #AS24516 VIRTUTEL-AS-AP Virtutel Pty Ltd, AU
103.70.70.0/23 #AS7545 TPG-INTERNET-AP TPG Telecom Limited, AU
103.70.72.0/22 #AS58511 ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
103.71.206.0/24 #AS132256 CTASAPL-AS-AP CGI Technologies and Solutions Australia Pty Ltd, AU
103.71.27.0/24 #AS132205 YARRACITYCOUNCIL-AS-AP YARRA CITY COUNCIL, AU
103.7.188.0/23 #AS135406 BCD-AS-AP BCD NETWORKS PTY LTD, AU
103.7.2.0/24 #AS136753 ASC-AS-AP Anglican Schools Corporation, AU
103.72.108.0/24 #AS132320 SAHMRI-AS-AP South Australian Health and Medical Research Institute Ltd, AU
103.72.202.0/23 #AS9723 ISEEK-AS-AP iseek Communications Pty Ltd, AU
103.72.210.0/24 #AS132424 BRAMBLESLIMITED-AS-AP Brambles Limited, AU
103.72.211.0/24 #AS136008 WILSON-PARKING-AS-AP Wilson Parking Australia 1992 PTY LTD, AU
103.72.62.0/23 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.72.88.0/24 #AS38084 ETHAN-AU-AP Ethan Group, AU
103.73.108.0/22 #AS132528 DIGICELAUSPTYLTD-AS-AP DIGICEL AUS PTY LTD, AU
103.73.112.0/23 #AS131214 IHPL-AS-AP Interact Hosting Pty Ltd, AU
103.73.200.0/22 #AS132626 IVAD-AS-AP INFINET VOICE & DATA PTY LTD, AU
103.73.40.0/24 #AS132433 KWPL-AS-AP KORE WIRELESS PTY LTD, AU
103.73.57.0/24 #AS132476 COMPASS-AS-AP Compass Education Pty Ltd, AU
103.73.59.0/24 #AS132484 MPAMSHL-AS-AP MUFG PENSION & MARKET SERVICES HOLDINGS LIMITED, AU
103.73.82.0/24 #AS132498 ASPEDIAAUSTRALIA-AS-AP ASPEDIA AUSTRALIA PTY LTD, AU
103.73.83.0/24 #AS23686 ASN-EQIX-MELBOURNE-AP Equinix Asia Pacific, AU
103.73.84.0/23 #AS132491 AFTCOMMS-AS-AP AFT Communications Pty Ltd, AU
103.74.142.0/24 #AS132812 CCC-AS-AP Central Coast Council, AU
103.74.168.0/24 #AS55811 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.74.171.0/24 #AS132847 NETSG-AS-AP Network Solutions Group Pty Ltd, AU
103.74.184.0/22 #AS134141 B2BWHOLESALE-AS-AP B2B Wholesale Pty Ltd, AU
103.74.188.0/23 #AS149515 FALCORE1-AS-AP ChannelCo., AU
103.74.190.0/23 #AS148968 FALCORE-AS-AP Falcore Investments Pty Ltd, AU
103.74.200.0/22 #AS137455 SCAPL-AS-AP Sovereign Cloud Australia Pty Ltd, AU
103.74.216.0/22 #AS4851 HOSTNETWORKS-AS-AU-AP Host Networks, AU
103.74.216.0/24 #AS132859 THEDC-AS-AP TheDC Pty Ltd, AU
103.74.226.0/24 #AS132852 VAULTSYSTEMS-AS-AP Vault Systems Pty. Ltd., AU
103.74.240.0/22 #AS132908 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.74.240.0/24 #AS63922 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.74.66.0/23 #AS132808 AISPLTIT-AS-AP IP Telco, AU
103.7.48.0/22 #AS38195 SUPERLOOP-AS-AP Superloop, AU
103.75.11.0/24 #AS136557 HOST-AS-AP Host Universal Pty Ltd, AU
103.75.132.0/23 #AS17434 RBA-AUS-AP RESERVE BANK OF AUSTRALIA, AU
103.75.134.0/23 #AS133206 DPL-AS-AP DGTEK PTY LTD, AU
103.75.202.0/24 #AS133483 SWITCHMEDIA-AS-AP SWITCH TV PTY LTD TA SWITCH MEDIA, AU
103.75.23.0/24 #AS133156 SSC1-AS-AP SS&C Solutions Pty Limited, AU
103.75.4.0/22 #AS133045 NSW-ENO-AS-AP NSW Electricity Networks Operations Pty Limited, AU
103.76.125.0/24 #AS133040 PPS2-AS-AP PPS MUTUAL INSURANCE PTY LTD, AU
103.76.156.0/24 #AS135565 JCSPL-AS-AP JEM Computer Systems Pty Ltd, AU
103.76.158.0/23 #AS132113 CONNECTEDAUSTRALIA-AS-AP Connected Australia, AU
103.76.164.0/23 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.76.176.0/23 #AS135612 HYDROELECTRIC-AS-AP Hydro-Electric Corporation, AU
103.76.244.0/24 #AS17477 MCT-SYDNEY Macquarie Technology Operations Pty Limited, AU
103.76.42.0/24 #AS133749 SOLNODE-AS-AP Solnode Pty Ltd, AU
103.76.51.0/24 #AS139664 SECURITON-EQUINIX-AS-AP Securiton Technologies, AU
103.76.90.0/24 #AS133958 SGOPS-AS-AP Special Ops Group Pty Ltd, AU
103.77.120.0/22 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
103.77.128.0/24 #AS7474 OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU
103.77.13.0/24 #AS135627 SNPL-AS-AP Silverlining Networks Pty Ltd, AU
103.77.144.0/22 #AS4851 HOSTNETWORKS-AS-AU-AP Host Networks, AU
103.77.180.0/23 #AS151799 VYTALGROUPPTYLTD-AS-AP Dialplan, AU
103.77.198.0/24 #AS137837 CMRI-AS-AP Childrens Medical Research Institute, AU
103.77.199.0/24 #AS7575 AARNET-AS-AP Australian Academic and Research Network AARNet, AU
103.7.72.0/22 #AS55707 SIMTRONIC-AS-AP Simtronic, AU
103.77.224.0/24 #AS136165 X4B-AS-AP X4B DDoS Protected Announcements, AU
103.77.232.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.77.70.0/23 #AS134832 PTS-AS-AP Premier Technology Solutions Pty Ltd, AU
103.78.108.0/23 #AS135662 DELOITTESERVICES-AS-AP DELOITTE SERVICES PTY LTD, AU
103.78.136.0/24 #AS135668 PSOPL-AS-AP Patrick Stevedores Operations Pty Ltd, AU
103.78.153.0/24 #AS135672 GRANGERESOURCES-AS-AP GRANGE RESOURCES TASMANIA PTY LTD, AU
103.78.185.0/24 #AS135675 QLGSB-AS-AP Queensland Local Government Superannuation Board, AU
103.78.194.0/24 #AS135878 BINARYELEMENTS-AS-AP MRY PTY LTD ta Binary Elements, AU
103.78.220.0/24 #AS45949 MCMILLANSHAKESPEAREAUST-AS-AP McMillan Shakespeare Australia pty Ltd, AU
103.78.241.0/24 #AS1221 ASN-TELSTRA Telstra Limited, AU
103.79.104.0/22 #AS136000 LIGHTNING-AS-AP Lightning Broadband Pty Ltd, AU
103.79.108.0/23 #AS133382 TBDN-AS-AP THE BUSINESS DOCTOR NSW PTY LTD, AU
103.79.118.0/24 #AS199959 CROWNCLOUD, AU
103.79.124.0/22 #AS136001 CHRISTIE-AS-AP Christie Spaces, AU
103.79.159.0/24 #AS140728 SK1PLTQVAD-AS-AP Quantum Voice and Data, AU
103.79.172.0/22 #AS133736 SYNTELPTYLTD-AU TASMANET, AU
103.79.180.0/24 #AS136006 TAREE-AS-AP TAREE CHRISTIAN COMMUNITY SCHOOL LTD, AU
103.79.181.0/24 #AS136232 ICAC-AS-AP Independent Commission Against Corruption, AU
103.79.22.0/24 #AS135892 NS-MGGS-AS-AP Mentone Girls Grammar School, AU
103.79.231.0/24 #AS136016 CGGS-AS-AP Camberwell Anglican Girls Grammar School, AU
103.79.4.0/22 #AS64098 SYNTELPTYLTD-AU TASMANET, AU
103.79.72.0/24 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Content Network, AU
103.79.75.0/24 #AS135897 MIL-AS-AP MetLife Insurance Limited, AU
103.79.76.0/22 #AS199959 CROWNCLOUD, AU
103.80.102.0/24 #AS136036 THINKEX-AS-AP ThinkEx Holdings Pty Ltd, AU
103.80.103.0/24 #AS55803 HOSTOPIA-AU Hostopia Australia Web Pty Ltd, AU
103.80.120.0/22 #AS137549 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.80.128.0/24 #AS7575 AARNET-AS-AP Australian Academic and Research Network AARNet, AU
103.80.136.0/22 #AS38880 M21-AS-AP Micron21 Datacentre Pty Ltd, AU
103.80.170.0/23 #AS133206 DPL-AS-AP DGTEK PTY LTD, AU
103.80.20.0/23 #AS133120 HOSTED-AS-AP Hosted Network Pty Ltd, AU
103.80.209.0/24 #AS134725 MAXSOLUTIONS-AS-AP MAXSolutions Pty Ltd, AU
103.80.244.0/22 #AS134844 ACCESS4-AS-AP ACCESS 4 PTY LTD, AU
103.80.251.0/24 #AS132430 AVMC-AS-AP Adelaide Venue Management Corporation, AU
103.80.254.0/23 #AS133080 VIATEK-AS-AP ViaTek Technology Pty Ltd, AU
103.80.40.0/24 #AS17559 SPECTUM-NON-AP Spectrums Core Network, AU
103.80.41.0/24 #AS153397 HCF-AS-AU HCF, AU
103.80.42.0/24 #AS153397 HCF-AS-AU HCF, AU
103.80.43.0/24 #AS17559 SPECTUM-NON-AP Spectrums Core Network, AU
103.80.69.0/24 #AS135526 KMHOLDINGSPTYLTD-AS-AP KM Holdings Pty Ltd, AU
103.80.8.0/23 #AS136784 VALVENETWORKS-AS-AP Valve Networks Pty Ltd, AU
103.81.102.0/24 #AS136140 CBA-AS-AP Commonwealth Bank of Australia, AU
103.81.124.0/22 #AS58507 WL-AS-AP Wireline, AU
103.81.216.0/24 #AS136241 THOMSON1-AS-AP Thomson Geer Services, AU
103.81.217.0/24 #AS138525 MINIPORTPTYLTD-AS-AP Miniport Pty Ltd, AU
103.81.219.0/24 #AS135406 BCD-AS-AP BCD NETWORKS PTY LTD, AU
103.81.245.0/24 #AS142038 TOTRCCFTDOL-AS-AP Trustees of the Roman Catholic Church for the Diocese of Lismore, AU
103.8.132.0/23 #AS132245 DATAEXPRESS-AU Data Express Pty Ltd, AU
103.8.134.0/24 #AS55884 ORIONVM-AU OrionVM Cloud Platform, AU
103.8.135.0/24 #AS132245 DATAEXPRESS-AU Data Express Pty Ltd, AU
103.81.40.0/22 #AS64006 NEXUSONE-AS-AP Nexus One Pty Ltd, AU
103.81.53.0/24 #AS136152 SANITARIUM-AS-AP Australian Health & Nutrition Association, AU
103.81.54.0/24 #AS136135 HAILEYBURY-AS-AP Haileybury, AU
103.81.76.0/24 #AS4764 WIDEBAND-AS-AP Aussie Broadband, AU
103.8.190.0/24 #AS150146 LAQ-AS-AP Legal Aid Queensland, AU
103.82.108.0/24 #AS7551 CLOUDCENTRAL-AS-AP Cloud Central Pty Ltd, AU
103.82.109.0/24 #AS45577 INTERVOLVE-MELBOURNE-AS-AP Intervolve Pty Ltd, AU
103.82.124.0/24 #AS136161 PIVOTEL-AS-AP Pivotel Group Pty Limited, AU
103.82.136.0/22 #AS132405 SUMMITINTERNET-AS-AP Summit Internet Australia, AU
103.82.155.0/24 #AS56057 ENTITYDATA-AU Entity Data Pty Limited, AU
103.8.229.0/24 #AS58589 CLOUDEARTH-AU Cloud Earth Pty Ltd, AU
103.8.236.0/23 #AS132257 AREA9-AU Area9 IT Solutions, AU
103.82.64.0/23 #AS38220 AMAZE-AS-AP Amaze Intelligence, AU
103.8.28.0/23 #AS58580 FASTRACK Fastrack Technology, AU
103.83.102.0/24 #AS136201 BGUS-AS-AP BG UNIFIED SOLUTIONS PTY LTD, AU
103.83.125.0/24 #AS136203 THINKEX-AS-AP ThinkEx Holdings Pty Ltd, AU
103.83.126.0/24 #AS135275 EVERLIGHTRADIOLOGY-AS-AP EVERLIGHT RADIOLOGY LIMITED, AU
103.83.14.0/24 #AS133792 AVANTEGROUP-AS-AP AVANTE I.T. PTY LTD, AU
103.83.208.0/24 #AS153041 LINKLYPTYLTD-AS-AP Linkly Pty Ltd, AU
103.83.209.0/24 #AS38859 LINKLYTECH-AU Linkly Technologies Pty Ltd, AU
103.83.230.0/24 #AS55920 ELCOMTECHNOLOGY-AS-AP Elcom Technology Pty Ltd, AU
103.83.56.0/24 #AS147069 CORE-AS2-AP Coretel, AU
103.83.85.0/24 #AS136183 WTPL-AS-AP Williams Technology Pty Ltd, AU
103.84.135.0/24 #AS136240 TTLINE-AS-AP TT-Line Company Pty Ltd, AU
103.84.224.0/24 #AS7575 AARNET-AS-AP Australian Academic and Research Network AARNet, AU
103.84.40.0/22 #AS136218 TARGETAUSTRALIA-AS-AP TARGET AUSTRALIA PTY. LTD., AU
103.84.99.0/24 #AS136228 CASEYCITYCOUNCIL-AS-AP Casey City Council, AU
