102.128.164.0/23 #AS9009 M247, RO
192.175.48.1/32 #AS39226 NXPT-EFX-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS39391 SANOS-AS Str. Avrig, nr 63, bl E2, sc 4, et 6, ap 126, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS39669 AVOLO-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS41141 ASLOCAL, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS41353 BVB-ASN, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS42200 AUSTRAL-AS Str. Smaranda Braescu Nr. 56, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS42660 TRL-AS B-dul Unirii Nr.72, Bl.J3, Sc.C, Et. 9-10, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS42800 CHROOT-ANYCAST Bucharest  ROMANIA, EU, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS43230 OMNIPORT-AS Str. Sebastian, Nr. 136 Bloc. V90, Scara, 5 Et. 8 Ap 151, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS43609 INTRABIT-AS Aleea TomestiNr. 3 Bl. 1, Sc. 1, Ap. 25, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS43780 SAS-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS43890 NETSERV-AS Sos. Mihai Bravu nr.294, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS43904 ROSITE-SOLUTIONS-SRL, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS48074 EVERHOST-AS-NETWORK, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS48373 SPEARHEAD-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS48831 AXELSOFT-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS49062 DOMO-MEDIA-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS49259 RDBS-AS Agricultori 119, Bl. 80, Sc. B, Ap. 54, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS49746 DIGI, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS49894 COMODO-AS Std Gradinari Nr 15 Bl B6 Sc A, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS50008 MIONET-IT-SRL, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS51072 AVERTUE-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS51568 MEDIACAFE, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS51643 ROMAV-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS51755 NOVA-PROMPT-AS Balomir 27b, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS51881 EPAYMENT-AS Str. Dr. Nicolae Staicovici nr.2 Opera Center 2, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS57611 ROMGAZ-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS57772 PEAKNET-AS Ion Mihalache Nr 158 Bl 4 Ap 6, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS58218 DREAMSERVER-IX, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS59421 LUC-NET-AS Grigore Ionescu 98 T6B Sc 2 Ap 14, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS59629 CYBER_FOLKS-RO-MULTI_DC, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS60088 INFINITY-NETWORK, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS61210 PRIVACTUALLY-AS, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS62124 UCS-AS Maior Gheorghe Sontu St.,Nr.3, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS62380 ***************************************, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS8919 CANAD, RO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.177.40.0/24 #AS9009 M247, RO
192.253.241.0/24 #AS9009 M247, RO
192.253.244.0/24 #AS9009 M247, RO
192.253.250.0/24 #AS9009 M247, RO
192.253.253.0/24 #AS9009 M247, RO
192.253.255.0/24 #AS9009 M247, RO
192.36.27.0/24 #AS9009 M247, RO
192.36.39.0/24 #AS9009 M247, RO
192.36.57.0/24 #AS9009 M247, RO
192.54.56.0/22 #AS9009 M247, RO
192.55.193.0/24 #AS9009 M247, RO
192.71.227.0/24 #AS9009 M247, RO
192.71.247.0/24 #AS9009 M247, RO
193.0.189.0/24 #AS41496 RO-TVSAT-AS, RO
193.0.190.0/24 #AS9009 M247, RO
193.0.225.0/24 #AS24839 UBB M.Kogalniceanu, No. 1, RO
193.104.121.0/24 #AS58074 IRM-AS, RO
193.104.123.0/24 #AS50080 SIBSRO-AS Vasile Milea, 2H, RO
193.104.150.0/24 #AS50137 NAGARRO-AS, RO
193.104.173.0/24 #AS50209 GROUPAMA-AS Mihai Eminescunr.45, RO
193.104.180.0/24 #AS50220 ROPARDO-AS Reconstructiei 2A, RO
193.104.247.0/24 #AS35725 TELEKOM, RO
193.104.30.0/24 #AS20703 CARBOCHIM-AS P-ta 1 Mai, Nr.3, RO
193.104.73.0/24 #AS49990 AEM-AS Str. STR. SERGHEI VASILIEVICI RAHMANINOV, Nr. 84, RO
193.105.185.0/24 #AS50680 GLOBALLOGIC-ROMANIA-AS, RO
193.105.218.0/24 #AS56430 CHROOT Bucharest  ROMANIA, EU, RO
193.105.239.0/24 #AS58074 IRM-AS, RO
193.105.64.0/24 #AS8976 STREAMWIDE-AS, RO
193.105.71.0/24 #AS50369 SAFEGRID, RO
193.105.91.0/24 #AS48810 IRM-AS, RO
193.106.124.0/22 #AS50357 BOSNET-AS, RO
193.111.120.0/23 #AS44682 TFIBER Strada Peroni nr. 45, RO
193.111.16.0/23 #AS47774 SISTEC-SBSOL-AS drumul sabareni 24-26, RO
193.111.161.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.135.220.0/22 #AS9009 M247, RO
193.138.103.0/24 #AS28853 RAIFFEISEN-AS Bucharest, Mircea Voda, 44, RO
193.138.108.0/24 #AS60574 CC-NETZ-AS01, RO
193.138.192.0/23 #AS34304 TEENTELECOM, RO
193.138.194.0/24 #AS34304 TEENTELECOM, RO
193.138.196.0/22 #AS34279 TELETRANS, RO
193.138.98.0/24 #AS2614 ROEDUNET, RO
193.138.99.0/24 #AS21022 BID-AS Banca de Investitii si Dezvoltare SA, RO
193.142.208.0/24 #AS47505 QNS-AS, RO
193.142.241.0/24 #AS60453 IMPULS-CONSTRUCT-AS MALULUI, NR. 10, RO
193.142.248.0/24 #AS57647 BAUPARTNER-AS str. Bruxelles, nr. 877A, RO
193.142.250.0/24 #AS57646 ALEF-AS, RO
193.142.58.0/24 #AS9009 M247, RO
193.143.120.0/24 #AS5606 GTS-BACKBONE GTS Telecom, RO
193.148.0.0/24 #AS34740 PCHARDWAREWEB, RO
193.148.16.0/22 #AS9009 M247, RO
193.149.20.0/22 #AS9009 M247, RO
193.150.120.0/24 #AS9009 M247, RO
193.150.168.0/24 #AS9009 M247, RO
193.151.28.0/22 #AS31313 STS Bucharest, 323A Splaiul Independentei,Sector 6,060044,Romania, RO
193.160.68.0/23 #AS9009 M247, RO
193.161.0.0/24 #AS51284 DISTRIBUTIE-ENERGIE-OLTENIA 2 Brestei Street, RO
193.16.144.0/24 #AS5606 GTS-BACKBONE GTS Telecom, RO
193.16.145.0/24 #AS213871 NEXONHOST, RO
193.16.148.0/24 #AS48161 NG-AS Str. Matei Millo, nr. 5, et. 2, Cladirea Tandem, RO
193.162.136.0/24 #AS6718 NAV NAV Communications, RO
193.164.136.0/24 #AS41432 STRAUSS-ROMANIA-AS, RO
193.168.140.0/23 #AS39622 ZERGRUSH, RO
193.168.143.0/24 #AS39622 ZERGRUSH, RO
193.168.184.0/24 #AS42423 BITWAY-AS BITWAY TELECOM, RO
193.168.220.0/22 #AS9009 M247, RO
193.169.136.0/24 #AS211701 BUSINESS-SOFTWARE-DEVELOPMENT, RO
193.169.137.0/24 #AS47142 REDBLUE-AS, RO
193.169.142.0/24 #AS49384 ROMATSA-AS, RO
193.169.144.0/23 #AS2541 OPERATIUNI-SPECIALE OPERATIUNI SPECIALE, RO
193.169.156.0/23 #AS49646 ANM-RO-AS Av. Sanatescu Nr. 48, RO
193.169.21.0/24 #AS31313 STS Bucharest, 323A Splaiul Independentei,Sector 6,060044,Romania, RO
193.169.6.0/23 #AS31313 STS Bucharest, 323A Splaiul Independentei,Sector 6,060044,Romania, RO
193.176.210.0/24 #AS9009 M247, RO
193.176.84.0/22 #AS9009 M247, RO
193.176.99.0/24 #AS48955 IRM-AS, RO
193.178.141.0/24 #AS34353 NETEX, RO
193.178.165.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.186.10.0/24 #AS43891 SIBIU-AS, RO
193.186.33.0/24 #AS43899 TVR-AS, RO
193.187.148.0/24 #AS9009 M247, RO
193.187.149.0/24 #AS35505 PRONETIT-AS, RO
193.187.150.0/23 #AS9009 M247, RO
193.189.98.0/23 #AS33925 GLOBALIS-AS, RO
193.19.192.0/24 #AS39543 TENNET-AS, RO
193.19.194.0/23 #AS39543 TENNET-AS, RO
193.192.42.0/23 #AS35450 DAINET, RO
193.192.46.0/23 #AS49383 HOSTMANIA-AS Str. Mihai Eminescu, Bl. 13A, RO
193.194.0.0/24 #AS34794 LIBRABANK-AS, RO
193.194.21.0/24 #AS34795 INMR-AS, RO
193.200.126.0/23 #AS31554 LANSOFT LANSOFT NETWORK, RO
193.200.141.0/24 #AS8423 NetcoRR, RO
193.200.165.0/24 #AS6890 IRM-AS, RO
193.200.19.0/24 #AS42234 CSCT-AS, RO
193.200.200.0/24 #AS35584 RO-BMSITGROUP-AS, RO
193.200.254.0/24 #AS58175 AUTO-TOTAL-AS Tincani Nr 8 BLOC Z18, SCARA A, ETAJ 10, AP 66, RO
193.200.62.0/23 #AS5606 GTS-BACKBONE GTS Telecom, RO
193.201.158.0/24 #AS58028 VLR-AS, RO
193.201.20.0/23 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.201.232.0/22 #AS44679 BINBOX-GLOBAL-SERVICES, RO
193.201.44.0/24 #AS60766 TATA-TECH-AS str. Branduselor nr. 84, RO
193.201.82.0/24 #AS51177 THCPROJECTS, RO
193.202.126.0/24 #AS33911 TENNET, RO
193.202.22.0/24 #AS62342 ATS1-AS Arobs Transilvania Software SA, RO
193.203.204.0/23 #AS49468 MAGHOST_, RO
193.203.37.0/24 #AS35386 SMITH-AS, RO
193.203.38.0/24 #AS57635 BLUE-LOGIC-AS, RO
193.219.119.0/24 #AS56553 REVEL-AS, RO
193.22.153.0/24 #AS9009 M247, RO
193.22.173.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.221.82.0/24 #AS210878 TREADSTONE-AS, RO
193.222.57.0/24 #AS41536 AS-01NODE, RO
193.222.63.0/24 #AS35468 PROCREDIT-AS str. Buzesti nr. 62-64, sector 1, RO
193.223.101.0/24 #AS39756 ROHOSTWAY-AS, RO
193.223.64.0/22 #AS9009 M247, RO
193.226.100.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.105.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.109.0/24 #AS2614 ROEDUNET, RO
193.226.113.0/24 #AS6663 TTI-NET, RO
193.226.114.0/24 #AS6663 TTI-NET, RO
193.226.116.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.226.117.0/24 #AS6663 TTI-NET, RO
193.226.119.0/24 #AS6663 TTI-NET, RO
193.226.121.0/24 #AS50252 CAMERA_DEPUTATILOR, RO
193.226.122.0/24 #AS6663 TTI-NET, RO
193.226.124.0/24 #AS6663 TTI-NET, RO
193.226.125.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.226.126.0/24 #AS6663 TTI-NET, RO
193.226.127.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.226.128.0/18 #AS5606 GTS-BACKBONE GTS Telecom, RO
193.226.145.0/24 #AS9064 IIRUC-DIGICOM-SA Satellite Communications Operator, RO
193.226.150.0/24 #AS9064 IIRUC-DIGICOM-SA Satellite Communications Operator, RO
193.226.16.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.226.17.0/24 #AS2614 ROEDUNET, RO
193.226.18.0/23 #AS2614 ROEDUNET, RO
193.226.20.0/23 #AS2614 ROEDUNET, RO
193.226.22.0/24 #AS213634 UCV, RO
193.226.23.0/24 #AS12675 UAIC-NETWORK, RO
193.226.24.0/23 #AS12675 UAIC-NETWORK, RO
193.226.27.0/24 #AS3233 ICI-ROTLD National Institute for Research and Development in Informatics - ICI Bucharest, RO
193.226.29.0/24 #AS39815 ULBS-AS, RO
193.226.30.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.3.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.34.0/24 #AS13210 ASE Piata Romana, Bucharest, Romania, RO
193.226.37.0/24 #AS213634 UCV, RO
193.226.38.0/24 #AS213634 UCV, RO
193.226.40.0/24 #AS24839 UBB M.Kogalniceanu, No. 1, RO
193.226.4.0/22 #AS2614 ROEDUNET, RO
193.226.42.0/23 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.47.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.49.0/24 #AS2614 ROEDUNET, RO
193.226.50.0/24 #AS2614 ROEDUNET, RO
193.226.51.0/24 #AS6693 UNIBUC, RO
193.226.52.0/23 #AS6693 UNIBUC, RO
193.226.56.0/24 #AS2614 ROEDUNET, RO
193.226.58.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.60.0/24 #AS31017 GMBNET, RO
193.226.61.0/24 #AS6663 TTI-NET, RO
193.226.62.0/24 #AS13210 ASE Piata Romana, Bucharest, Romania, RO
193.226.63.0/24 #AS31017 GMBNET, RO
193.226.68.0/22 #AS5606 GTS-BACKBONE GTS Telecom, RO
193.226.72.0/23 #AS34304 TEENTELECOM, RO
193.226.76.0/22 #AS9009 M247, RO
193.226.8.0/21 #AS2614 ROEDUNET, RO
193.226.83.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.226.85.0/24 #AS8751 MEDIASAT, RO
193.226.90.0/23 #AS207129 USAMV, RO
193.226.92.0/24 #AS31554 LANSOFT LANSOFT NETWORK, RO
193.226.93.0/24 #AS2614 ROEDUNET, RO
193.227.110.0/24 #AS31278 INMH, RO
193.227.125.0/24 #AS9009 M247, RO
193.228.153.0/24 #AS48948 ENERGY-DOT-AS, RO
193.22.93.0/24 #AS31606 ARTRADE-AS, RO
193.22.95.0/24 #AS57132 BJBRAILA-AS Piata Poligon Nr. 4, RO
193.230.0.0/17 #AS3233 ICI-ROTLD National Institute for Research and Development in Informatics - ICI Bucharest, RO
193.230.129.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.133.0/24 #AS210822 OSIM-AS, RO
193.230.137.0/24 #AS41806 TRANSELECTRICA-AS Str. Olteni Nr. 2-4, Sector 3, RO
193.230.138.0/24 #AS12672 ASN-RINGIER, RO
193.230.142.0/24 #AS12672 ASN-RINGIER, RO
193.230.150.0/24 #AS42089 MISSME-AS, RO
193.230.151.0/24 #AS31454 FLANCO-AS Calea Floreasca, Nr. 246C, Sky Tower, Et. 11, Sector 1, RO
193.230.152.0/24 #AS9050 RTD Bucharest, Romania, RO
193.230.155.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.230.156.0/24 #AS34551 IF-CFR-AS, RO
193.230.158.0/23 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.230.160.0/23 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.162.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.166.0/23 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.168.0/23 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.171.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.230.174.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.176.0/24 #AS6663 TTI-NET, RO
193.230.177.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.178.0/24 #AS6663 TTI-NET, RO
193.230.181.0/24 #AS6663 TTI-NET, RO
193.230.183.0/24 #AS6663 TTI-NET, RO
193.230.188.0/24 #AS2614 ROEDUNET, RO
193.230.189.0/24 #AS6663 TTI-NET, RO
193.230.193.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.197.0/24 #AS12842 INTERNET-OLTENIA, RO
193.230.198.0/24 #AS25461 RO-DCI 280-284 Sos. Bucuresti-Ploiesti, RO
193.230.200.0/23 #AS6663 TTI-NET, RO
193.230.202.0/23 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.206.0/24 #AS210343 IRUM2-AS, RO
193.230.215.0/24 #AS39668 AS-INTERSAT_CT Ion Ratiu nr.33, RO
193.230.227.0/24 #AS12442 PRO-TV-AS B-dul Pache Protopopescu Nr 109 Et 1, RO
193.230.228.0/24 #AS12672 ASN-RINGIER, RO
193.230.229.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.230.230.0/24 #AS8930 ASN-MEDIAFAX, RO
193.230.231.0/24 #AS49384 ROMATSA-AS, RO
193.230.232.0/24 #AS16120 ASUMFT Timisoara, P-ta E. Murgu 2a, RO
193.230.233.0/24 #AS24704 DGI, RO
193.230.234.0/23 #AS2614 ROEDUNET, RO
193.230.238.0/23 #AS2614 ROEDUNET, RO
193.230.240.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.230.241.0/24 #AS9050 RTD Bucharest, Romania, RO
193.230.245.0/24 #AS24712 AXIGEN, RO
193.230.247.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.100.0/24 #AS9050 RTD Bucharest, Romania, RO
193.231.10.0/24 #AS6693 UNIBUC, RO
193.231.1.0/24 #AS6693 UNIBUC, RO
193.231.104.0/22 #AS9050 RTD Bucharest, Romania, RO
193.231.108.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.231.11.0/24 #AS2614 ROEDUNET, RO
193.231.111.0/24 #AS47774 SISTEC-SBSOL-AS drumul sabareni 24-26, RO
193.231.120.0/23 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.122.0/24 #AS15856 LASTING-INTERNET, RO
193.231.126.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.127.0/24 #AS5606 GTS-BACKBONE GTS Telecom, RO
193.231.129.0/24 #AS43703 SNSPA-AS, RO
193.231.13.0/24 #AS2614 ROEDUNET, RO
193.231.132.0/24 #AS2614 ROEDUNET, RO
193.231.133.0/24 #AS8751 MEDIASAT, RO
193.231.135.0/24 #AS2614 ROEDUNET, RO
193.231.136.0/24 #AS2614 ROEDUNET, RO
193.231.137.0/24 #AS6663 TTI-NET, RO
193.231.147.0/24 #AS2614 ROEDUNET, RO
193.231.148.0/24 #AS2614 ROEDUNET, RO
193.231.151.0/24 #AS49077 UM02499-AS, RO
193.231.158.0/24 #AS2614 ROEDUNET, RO
193.231.166.0/24 #AS60644 FARMEXPERT-AS, RO
193.231.169.0/24 #AS8751 MEDIASAT, RO
193.231.17.0/24 #AS2614 ROEDUNET, RO
193.231.172.0/24 #AS8614 ITC-AS, RO
193.231.176.0/24 #AS31313 STS Bucharest, 323A Splaiul Independentei,Sector 6,060044,Romania, RO
193.231.18.0/23 #AS24839 UBB M.Kogalniceanu, No. 1, RO
193.231.181.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.182.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.184.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.231.193.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.231.197.0/24 #AS42790 BRD-AS, RO
193.231.199.0/24 #AS24712 AXIGEN, RO
193.231.20.0/24 #AS24839 UBB M.Kogalniceanu, No. 1, RO
193.231.2.0/24 #AS2614 ROEDUNET, RO
193.231.205.0/24 #AS12672 ASN-RINGIER, RO
193.231.208.0/20 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.23.0/24 #AS2614 ROEDUNET, RO
193.231.236.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.231.242.0/24 #AS31017 GMBNET, RO
193.231.246.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.250.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.25.0/24 #AS2614 ROEDUNET, RO
193.231.255.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.231.26.0/23 #AS2614 ROEDUNET, RO
193.231.28.0/23 #AS2614 ROEDUNET, RO
193.231.30.0/23 #AS12675 UAIC-NETWORK, RO
193.231.3.0/24 #AS16220 UTCBNET, RO
193.231.32.0/24 #AS2614 ROEDUNET, RO
193.231.34.0/23 #AS2614 ROEDUNET, RO
193.231.38.0/24 #AS2614 ROEDUNET, RO
193.231.39.0/24 #AS213634 UCV, RO
193.231.40.0/24 #AS213634 UCV, RO
193.231.4.0/23 #AS16220 UTCBNET, RO
193.231.42.0/23 #AS2614 ROEDUNET, RO
193.231.48.0/20 #AS8953 ASN-ORANGE-ROMANIA, RO
193.231.65.0/24 #AS6663 TTI-NET, RO
193.231.67.0/24 #AS31313 STS Bucharest, 323A Splaiul Independentei,Sector 6,060044,Romania, RO
193.231.68.0/24 #AS6663 TTI-NET, RO
193.231.70.0/24 #AS16026 PETROM-NET Strada Coralilor nr. 22, Sector 1, RO
193.231.72.0/24 #AS34808 SRR Bucharest, 60-64 General Berthelot Street, RO
193.231.73.0/24 #AS6663 TTI-NET, RO
193.231.75.0/24 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
193.231.76.0/24 #AS6663 TTI-NET, RO
193.231.77.0/24 #AS47427 DTNETWORK, RO
193.231.78.0/24 #AS6663 TTI-NET, RO
193.231.79.0/24 #AS56519 MIDRO-AS, RO
193.231.80.0/24 #AS6663 TTI-NET, RO
193.231.8.0/23 #AS2614 ROEDUNET, RO
193.231.83.0/24 #AS13059 EXTREME-SOLUTIONS, RO
193.231.84.0/24 #AS9050 RTD Bucharest, Romania, RO
193.231.93.0/24 #AS24858 COMTEC Str. Mexic, nr.13, sector 1, RO
193.231.96.0/24 #AS12302 VODAFONE_RO Charles de Gaulle nr.15, RO
193.23.222.0/24 #AS201048 TEREHOV-AS, RO
193.23.4.0/22 #AS51799 FIDELNET-AS Str. Ion Irimescu, Nr.307, Sat Sfantu Ilie, RO
193.238.192.0/22 #AS9009 M247, RO
193.238.56.0/22 #AS34714 OPTICNET, RO
193.239.130.0/23 #AS34358 CYBER_FOLKS-RO-DC_FLO, RO
193.239.134.0/23 #AS35093 RO-HTPASSPORT, RO
193.239.138.0/23 #AS13085 PATRIA-BANK-AS, RO
193.239.158.0/23 #AS34538 QUICK-NET-AS, RO
193.239.176.0/24 #AS48955 IRM-AS, RO
193.239.194.0/23 #AS31554 LANSOFT LANSOFT NETWORK, RO
193.239.212.0/23 #AS35261 DYNAMIC-AS, RO
193.239.218.0/23 #AS42417 NTTDATARO-AS, RO
193.239.230.0/23 #AS35322 CARO-AS, RO
193.239.252.0/23 #AS35413 SL-NETWORKS, RO
193.239.64.0/22 #AS8614 ITC-AS, RO
193.239.84.0/22 #AS9009 M247, RO
193.242.120.0/24 #AS34358 CYBER_FOLKS-RO-DC_FLO, RO
193.242.196.0/22 #AS50437 TECHNOLOGICAL, RO
193.25.110.0/23 #AS33823 GEMENII-NETWORK PHOENIX TELECOM & MEDIA SERVICES, RO
193.25.112.0/23 #AS31244 MYSERVER-MEDIA-AS, RO
193.254.230.0/23 #AS25304 UNITBV, RO
193.254.242.0/23 #AS39737 PRIME-TELECOM-AS Prime Telecom, RO
193.26.10.0/24 #AS33961 TELCOR-AS, RO
193.26.129.0/24 #AS31278 INMH, RO
193.27.12.0/23 #AS9009 M247, RO
193.27.14.0/24 #AS9009 M247, RO
193.27.70.0/23 #AS31038 DTECH, RO
193.29.104.0/22 #AS9009 M247, RO
193.29.12.0/24 #AS49468 MAGHOST_, RO
193.29.13.0/24 #AS42397 ***************************************, RO
193.29.15.0/24 #AS42397 ***************************************, RO
193.29.177.0/24 #AS9009 M247, RO
193.29.187.0/24 #AS51177 THCPROJECTS, RO
193.29.227.0/24 #AS51295 GNET-AS, RO
193.29.42.0/24 #AS9009 M247, RO
193.31.126.0/23 #AS9009 M247, RO
193.31.72.0/23 #AS9009 M247, RO
193.31.75.0/24 #AS9009 M247, RO
193.32.10.0/24 #AS62315 NN-LEASE-AS Costache Negri Nr 1-5, RO
193.32.140.0/24 #AS34714 OPTICNET, RO
193.32.141.0/24 #AS52023 OPTICNET-DUCADU, RO
193.32.142.0/23 #AS52023 OPTICNET-DUCADU, RO
193.32.160.0/23 #AS49468 MAGHOST_, RO
193.32.58.0/24 #AS41496 RO-TVSAT-AS, RO
193.32.85.0/24 #AS9009 M247, RO
193.32.87.0/24 #AS211462 GHT-NET, RO
