203.144.101.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.144.103.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.144.104.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
203.195.115.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
203.196.8.0/21 #AS23764 CTGNET China Telecom Global Limited, HK
210.48.136.0/22 #AS23764 CTGNET China Telecom Global Limited, HK
210.48.143.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
218.30.62.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
218.185.241.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
218.185.243.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
218.185.245.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
220.174.26.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
220.174.94.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
220.247.140.0/23 #AS23764 CTGNET China Telecom Global Limited, HK
220.247.143.0/24 #AS23764 CTGNET China Telecom Global Limited, HK
36.50.90.0/24 #AS152165 IITCL-AS-AP IoT Innovation Technologies Company Limited, HK
160.191.145.0/24 #AS152165 IITCL-AS-AP IoT Innovation Technologies Company Limited, HK
58.64.251.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
59.148.165.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
101.78.204.0/22 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
116.92.130.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.60.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.119.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.137.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.138.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.142.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.159.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
118.143.160.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
203.82.8.0/21 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
203.174.32.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
210.0.224.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
218.188.80.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
218.189.74.0/24 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
220.232.228.0/23 #AS24462 HKJC-AS-HK-AP The Hong Kong Jockey Club, HK
