103.109.58.0/24 #AS59239 ITELLIMITED-AS-AP iTel Limited, BD
103.253.162.0/23 #AS59239 ITELLIMITED-AS-AP iTel Limited, BD
103.228.49.0/24 #AS59242 TBL-AS-AP Tullow Bangladesh Ltd. A wholly owned member of KrisEnergy Group, BD
103.254.26.0/24 #AS59242 TBL-AS-AP Tullow Bangladesh Ltd. A wholly owned member of KrisEnergy Group, BD
58.84.33.0/24 #AS59249 MOFNET-BD Mowna Optical Fiber Network, BD
58.84.34.0/23 #AS59249 MOFNET-BD Mowna Optical Fiber Network, BD
103.197.49.0/24 #AS59249 MOFNET-BD Mowna Optical Fiber Network, BD
103.254.94.0/24 #AS59249 MOFNET-BD Mowna Optical Fiber Network, BD
103.254.167.0/24 #AS59249 MOFNET-BD Mowna Optical Fiber Network, BD
192.175.48.1/32 #AS59259 ICDDR-AS-AP International Centre For Diarrhoeal Disease Research, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
116.206.61.0/24 #AS59316 AOL-BD aamra Outsourcing Ltd., BD
103.213.28.0/23 #AS59321 SEBL-BD Eunoos Trade Center, BD
103.226.122.0/24 #AS59321 SEBL-BD Eunoos Trade Center, BD
103.228.0.0/23 #AS59332 MYNETLIMITED-BD Mynet Limited, BD
103.87.112.0/22 #AS59340 MSHELPLINE-BD Help Line, BD
103.229.44.0/22 #AS59340 MSHELPLINE-BD Help Line, BD
116.204.220.0/22 #AS59340 MSHELPLINE-BD Help Line, BD
203.190.32.0/22 #AS59340 MSHELPLINE-BD Help Line, BD
123.0.30.0/24 #AS59341 SINETEN-BD SINE-10 BD LIMITED, BD
192.175.48.1/32 #AS59350 NEXT-AS-AP Next Online Ltd., BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.230.180.0/22 #AS59353 SPARKSYSTEMSLTD-BD Spark Systems Ltd., BD
192.175.48.1/32 #AS59359 SEBL-AS-AP Southeast Bank Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.150.38.0/24 #AS59361 DESCO-AS-AP Dhaka Electric Supply Company Limited DESCO, BD
103.231.135.0/24 #AS59361 DESCO-AS-AP Dhaka Electric Supply Company Limited DESCO, BD
45.251.228.0/22 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
103.92.216.0/22 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
103.220.204.0/22 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
103.231.160.0/22 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
104.193.36.0/24 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
110.76.128.0/22 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
123.253.96.0/22 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
163.128.150.0/23 #AS59362 KSNETWORK-AS-AP KS Network Limited, BD
192.175.48.1/32 #AS59363 AMS-AS-AP Sayed Farhad Ahmed ta Aamra Management Solution, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.231.228.0/22 #AS59365 BD-NETWORKS-AS-AP BD Networks, BD
157.119.48.0/22 #AS59365 BD-NETWORKS-AS-AP BD Networks, BD
150.129.220.0/22 #AS59378 AIG-BD ADN International Gateway Limited, BD
192.175.48.1/32 #AS59382 APL-BD Antaranga Properties Ltd, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS63520 NOVOCOM-NIX-AS NovoCom Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.125.220.0/22 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
45.249.102.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.48.160.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.72.60.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.101.197.0/24 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.101.199.0/24 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.106.236.0/22 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.112.52.0/22 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.120.200.0/22 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.122.142.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.147.162.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.149.142.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.159.128.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.177.246.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.218.24.0/22 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.231.238.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.239.252.0/22 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
114.129.14.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
160.22.20.0/23 #AS63526 SSDTL-BD Systems Solutions & development Technologies Limited, BD
103.40.82.0/23 #AS63826 CPTU-BD Ministry of Planning, Planning Commission Chatter, BD
103.233.121.0/24 #AS63840 LIVE-BD Live Network & System, BD
103.41.111.0/24 #AS63843 DOHATEC-BD Dohatec New Media, BD
103.41.244.0/23 #AS63844 ONCL-BD One Net Communication Ltd, BD
103.77.252.0/23 #AS63844 ONCL-BD One Net Communication Ltd, BD
116.206.252.0/22 #AS63844 ONCL-BD One Net Communication Ltd, BD
103.42.152.0/23 #AS63851 BANKALFALAHLTD-AS-AP Bank Alfalah Ltd., BD
103.42.154.0/24 #AS63851 BANKALFALAHLTD-AS-AP Bank Alfalah Ltd., BD
103.43.52.0/22 #AS63890 AIBL-AS-AP Al-Arafah Islami Bank Limited, BD
103.23.31.0/24 #AS63914 STEL-BD SB TEL ENTERPRISES LIMITED, BD
103.43.230.0/24 #AS63914 STEL-BD SB TEL ENTERPRISES LIMITED, BD
103.228.134.0/23 #AS63914 STEL-BD SB TEL ENTERPRISES LIMITED, BD
202.0.94.0/24 #AS63914 STEL-BD SB TEL ENTERPRISES LIMITED, BD
103.44.76.0/22 #AS63923 BHL-BD Best Holdings Limited, BD
43.229.12.0/22 #AS63932 BCC-BD Bangladesh Computer Council, BD
103.48.16.0/22 #AS63932 BCC-BD Bangladesh Computer Council, BD
114.130.54.0/23 #AS63932 BCC-BD Bangladesh Computer Council, BD
114.130.116.0/22 #AS63932 BCC-BD Bangladesh Computer Council, BD
114.130.240.0/21 #AS63932 BCC-BD Bangladesh Computer Council, BD
114.130.252.0/22 #AS63932 BCC-BD Bangladesh Computer Council, BD
180.211.213.0/24 #AS63932 BCC-BD Bangladesh Computer Council, BD
103.52.142.0/24 #AS63957 M13ONLINEBD-BD 13 Online, BD
103.28.120.0/22 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
103.84.156.0/24 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
103.140.181.0/24 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
103.147.242.0/23 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
103.157.134.0/23 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
103.159.2.0/24 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
163.47.36.0/22 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
203.96.188.0/22 #AS63961 BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
43.231.76.0/22 #AS63963 GOAL-BD Gateway Online Access Limited, BD
103.50.168.0/22 #AS63963 GOAL-BD Gateway Online Access Limited, BD
103.53.84.0/24 #AS63964 STL-BD Songbird Telecom Limited, BD
103.9.185.0/24 #AS63967 BTRAC-AS-AP Bangla Trac Communications Ltd ISP and Cloud Services, BD
103.9.187.0/24 #AS63967 BTRAC-AS-AP Bangla Trac Communications Ltd ISP and Cloud Services, BD
103.244.162.0/24 #AS63967 BTRAC-AS-AP Bangla Trac Communications Ltd ISP and Cloud Services, BD
117.104.186.0/23 #AS63967 BTRAC-AS-AP Bangla Trac Communications Ltd ISP and Cloud Services, BD
45.114.84.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
59.152.99.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
59.152.100.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
59.152.103.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
59.152.111.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.23.95.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.49.114.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.54.36.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.85.159.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.105.86.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.106.118.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.115.117.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.124.251.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.126.23.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.129.115.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.143.148.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.147.182.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.149.74.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.155.118.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.177.124.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.178.186.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.190.199.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.190.228.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.204.80.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
103.236.106.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
144.48.118.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
151.158.120.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
151.158.197.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
154.89.7.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
160.187.190.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
161.248.10.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.64.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.70.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.76.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.78.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.80.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.84.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.86.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.89.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.90.0/23 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.93.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
182.48.94.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
210.87.69.0/24 #AS63969 RACEONLINE-BD Race Online Limited, BD
59.153.200.0/23 #AS63980 MFI-AS-AP Minara Firoz Infotech, BD
103.57.20.0/22 #AS63980 MFI-AS-AP Minara Firoz Infotech, BD
103.57.151.0/24 #AS63984 VTS-AS-AP Nexdecade Technology Pvt. LTD, BD
103.68.104.0/24 #AS63984 VTS-AS-AP Nexdecade Technology Pvt. LTD, BD
103.204.82.0/23 #AS63984 VTS-AS-AP Nexdecade Technology Pvt. LTD, BD
103.58.108.0/23 #AS63987 DSEL-BD Dhaka Stock Exchange Limited, BD
45.120.112.0/22 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
103.60.172.0/22 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
103.129.238.0/23 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
103.205.68.0/22 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
192.144.86.0/23 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
202.125.108.0/24 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
203.17.65.0/24 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
203.95.220.0/22 #AS63996 MNL-AS-AP Mazeda Networks Limited, BD
103.139.235.0/24 #AS64005 KK-AS-AP KaritKarma, BD
103.193.168.0/22 #AS64012 MSCML-AS-AP Meghna Seeds Crushing Mills Ltd, BD
103.35.168.0/24 #AS64018 CWT-AS-AP Md. Abdul Awual ta Cyber Way Technology, BD
103.35.170.0/23 #AS64018 CWT-AS-AP Md. Abdul Awual ta Cyber Way Technology, BD
103.70.171.0/24 #AS64037 FIRSTNFASTITLTD-AS-AP First n Fast IT Ltd, BD
103.120.46.0/24 #AS64037 FIRSTNFASTITLTD-AS-AP First n Fast IT Ltd, BD
103.177.168.0/24 #AS64037 FIRSTNFASTITLTD-AS-AP First n Fast IT Ltd, BD
103.195.140.0/23 #AS64037 FIRSTNFASTITLTD-AS-AP First n Fast IT Ltd, BD
192.175.48.1/32 #AS64039 NRBGBL-BD NRBGBL, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
59.153.16.0/22 #AS64043 EUROTELBD-ONLINE-LTD-BD S.M. ZAKIR HOSSAIN ta EUROtelbd Online Ltd., BD
103.197.248.0/22 #AS64043 EUROTELBD-ONLINE-LTD-BD S.M. ZAKIR HOSSAIN ta EUROtelbd Online Ltd., BD
103.198.2.0/23 #AS64046 PBL-BD Pubali Bank Limited, BD
103.198.168.0/22 #AS64053 GRASP-AS-AP Grasp International Limited, BD
103.195.54.0/23 #AS64058 GCKIL-AS-AP MD. GOLAM MOSTAFA ta GMS COMPOSITE KNITING IND. LTD, BD
103.8.121.0/24 #AS64059 SMC-AS-AP SM Communication Limited, BD
103.164.254.0/24 #AS64063 BDCONNECTNET-AS-AP BDconnect.net, BD
103.200.92.0/22 #AS64063 BDCONNECTNET-AS-AP BDconnect.net, BD
103.19.36.0/24 #AS64065 NRBGBL-AS-AP NRB Global Bank Ltd., BD
103.88.136.0/23 #AS64065 NRBGBL-AS-AP NRB Global Bank Ltd., BD
103.25.120.0/22 #AS64072 EVOLUTIONNET-BD EVOLUTION NET Internet Service Provider, BD
103.69.77.0/24 #AS64072 EVOLUTIONNET-BD EVOLUTION NET Internet Service Provider, BD
160.250.69.0/24 #AS64072 EVOLUTIONNET-BD EVOLUTION NET Internet Service Provider, BD
165.101.78.0/23 #AS64072 EVOLUTIONNET-BD EVOLUTION NET Internet Service Provider, BD
103.203.176.0/22 #AS64074 ABS-AS-AP Alpha Broadway System, BD
223.29.212.0/23 #AS64074 ABS-AS-AP Alpha Broadway System, BD
223.29.215.0/24 #AS64074 ABS-AS-AP Alpha Broadway System, BD
103.205.133.0/24 #AS64077 RADIANT-IPTV-AS-AP One Stop Media & Entertainment, BD
103.210.60.0/23 #AS64092 ITCONSULTANTSLTD-AS-AP IT Consultants PLC, BD
103.210.62.0/24 #AS64092 ITCONSULTANTSLTD-AS-AP IT Consultants PLC, BD
192.175.48.1/32 #AS131102 BTTB-AS-AP 4 byte AS, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
160.30.62.0/24 #AS131108 SHERPURNETWORK-AS-AP Sherpur Network, BD
192.175.48.1/32 #AS131179 TELEBANGLA-BD Telebangla Communications Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.103.239.0/24 #AS131183 EPNET-AS-AP Empowering Net epnet, BD
103.111.34.0/23 #AS131183 EPNET-AS-AP Empowering Net epnet, BD
103.111.36.0/24 #AS131183 EPNET-AS-AP Empowering Net epnet, BD
103.136.105.0/24 #AS131183 EPNET-AS-AP Empowering Net epnet, BD
151.158.48.0/23 #AS131192 BDWEBSDOTCOM-AS-AP BD WEBS DOT COM, BD
103.127.85.0/24 #AS131216 AUTHENTICNETWORK-AS-AP Saharea Hossain ta Authentic Network, BD
103.127.87.0/24 #AS131216 AUTHENTICNETWORK-AS-AP Saharea Hossain ta Authentic Network, BD
103.173.90.0/23 #AS131242 SWAPNO-AS-AP Swapno Network Limited, BD
103.41.114.0/23 #AS131243 F-AS-AP F N S, BD
103.68.116.0/22 #AS131247 INFOBD24SYSTEMS-AS-AP Infobd24 Systems, BD
103.230.208.0/22 #AS131247 INFOBD24SYSTEMS-AS-AP Infobd24 Systems, BD
103.187.24.0/23 #AS131304 FTL-AS-AP FIBER TECHNOLOGY LIMITED, BD
103.74.228.0/24 #AS131340 TAQWAIT-AS-AP Md. Mozammel Hoque ta Taqwa IT, BD
103.74.231.0/24 #AS131340 TAQWAIT-AS-AP Md. Mozammel Hoque ta Taqwa IT, BD
103.69.148.0/22 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
103.109.96.0/22 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
103.115.242.0/23 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
103.154.159.0/24 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
103.198.133.0/24 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
103.198.134.0/23 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
161.248.205.0/24 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
180.149.232.0/22 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
202.12.123.0/24 #AS131464 DJBL-AS-AP Digi Jadoo Broadband Ltd, BD
103.114.95.0/24 #AS131474 NETX-AS-AP NETX, BD
103.76.240.0/22 #AS131686 CCN-AS-AP MD. Khurshid Alom ta Computer Complex Network, BD
162.12.213.0/24 #AS131686 CCN-AS-AP MD. Khurshid Alom ta Computer Complex Network, BD
162.12.214.0/23 #AS131686 CCN-AS-AP MD. Khurshid Alom ta Computer Complex Network, BD
